GISJOIN,YEAR,AREANAME,STATE,STATEA,COUNTY,COUNTYA,DATAFLAG,NOTECODE,AGWD001
"G0101030","2004","Morgan, AL","Alabama","010","Morgan","1030","0","0",112930
"G0101050","2004","Perry, AL","Alabama","010","Perry","1050","0","0",11521
"G0101070","2004","Pickens, AL","Alabama","010","Pickens","1070","0","0",20345
"G0101090","2004","Pike, AL","Alabama","010","Pike","1090","0","0",29423
"G0101110","2004","Randolph, AL","Alabama","010","Randolph","1110","0","0",22576
"G0101130","2004","Russell, AL","Alabama","010","Russell","1130","0","0",49164
"G0101150","2004","St. Clair, AL","Alabama","010","St Clair","1150","0","0",70275
"G0101170","2004","Shelby, AL","Alabama","010","Shelby","1170","0","0",165463
"G0101190","2004","Sumter, AL","Alabama","010","Sumter","1190","0","0",14078
"G0101210","2004","Talladega, AL","Alabama","010","Talladega","1210","0","0",80157
"G0101230","2004","Tallapoosa, AL","Alabama","010","Tallapoosa","1230","0","0",40774
"G0101250","2004","Tuscaloosa, AL","Alabama","010","Tuscaloosa","1250","0","0",167178
"G0101270","2004","Walker, AL","Alabama","010","Walker","1270","0","0",69876
"G0101290","2004","Washington, AL","Alabama","010","Washington","1290","0","0",17820
"G0101310","2004","Wilcox, AL","Alabama","010","Wilcox","1310","0","0",12927
"G0101330","2004","Winston, AL","Alabama","010","Winston","1330","0","0",24487
"G0200130","2004","Aleutians East, AK","Alaska","020","Aleutians East","0130","0","0",2677
"G0200160","2004","Aleutians West, AK","Alaska","020","Aleutians West","0160","0","0",5451
"G0200200","2004","Anchorage, AK","Alaska","020","Anchorage","0200","0","0",274067
"G0200500","2004","Bethel, AK","Alaska","020","Bethel","0500","0","0",16963
"G0200600","2004","Bristol Bay, AK","Alaska","020","Bristol Bay Borough","0600","0","0",1093
"G0200680","2004","Denali, AK","Alaska","020","Denali","0680","0","0",1917
"G0200700","2004","Dillingham, AK","Alaska","020","Dillingham","0700","0","0",4938
"G0200900","2004","Fairbanks North Star, AK","Alaska","020","Fairbanks North Star","0900","0","0",86904
"G0201000","2004","Haines, AK","Alaska","020","Haines","1000","0","0",2251
"G0201050","2004","Hoonah-Angoon, AK","Alaska","020","Hoonah-Angoon","1050","1 - Data for another unit not enumerated separately are included with this unit","5047",3139
"G0201100","2004","Juneau, AK","Alaska","020","Juneau","1100","0","0",31111
"G0201220","2004","Kenai Peninsula, AK","Alaska","020","Kenai Peninsula","1220","0","0",51615
"G0201300","2004","Ketchikan Gateway, AK","Alaska","020","Ketchikan Gateway","1300","17 - Population count may be based on different boundaries than birth and death counts. Rates are suspect.","9024",13229
"G0201500","2004","Kodiak Island, AK","Alaska","020","Kodiak Island","1500","0","0",13231
"G0201640","2004","Lake and Peninsula, AK","Alaska","020","Lake and Peninsula","1640","0","0",1583
"G0201700","2004","Matanuska-Susitna, AK","Alaska","020","Matanuska-Susitna","1700","0","0",72166
"G0201800","2004","Nome, AK","Alaska","020","Nome","1800","0","0",9342
"G0201850","2004","North Slope, AK","Alaska","020","North Slope","1850","0","0",7010
"G0201880","2004","Northwest Arctic, AK","Alaska","020","Northwest Arctic","1880","0","0",7557
"G0201950","2004","Petersburg, AK","Alaska","020","Petersburg","1950","1 - Data for another unit not enumerated separately are included with this unit","5090",6292
"G0201980","2004","Prince of Wales-Hyder, AK","Alaska","020","Prince of Wales-Hyder","1980","17 - Population count may be based on different boundaries than birth and death counts. Rates are suspect.","9024",5756
"G0202200","2004","Sitka, AK","Alaska","020","Sitka","2200","0","0",8885
"G0202300","2004","Skagway, AK","Alaska","020","Skagway","2300","2 - Data for this unit are not enumerated separately and are included with another unit","5047",0
"G0202400","2004","Southeast Fairbanks, AK","Alaska","020","Southeast Fairbanks","2400","0","0",6138
"G0202610","2004","Valdez-Cordova, AK","Alaska","020","Valdez-Cordova","2610","0","0",9949
"G0202700","2004","Wade Hampton, AK","Alaska","020","Wade Hampton","2700","0","0",7491
"G0202750","2004","Wrangell, AK","Alaska","020","Wrangell","2750","2 - Data for this unit are not enumerated separately and are included with another unit","5090",0
"G0202820","2004","Yakutat, AK","Alaska","020","Yakutat","2820","0","0",705
"G0202900","2004","Yukon-Koyukuk, AK","Alaska","020","Yukon-Koyukuk","2900","0","0",6295
"G0400010","2004","Apache, AZ","Arizona","040","Apache","0010","0","0",68845
"G0400030","2004","Cochise, AZ","Arizona","040","Cochise","0030","0","0",123864
"G0400050","2004","Coconino, AZ","Arizona","040","Coconino","0050","0","0",122687
"G0400070","2004","Gila, AZ","Arizona","040","Gila","0070","0","0",51311
"G0400090","2004","Graham, AZ","Arizona","040","Graham","0090","0","0",32858
"G0400110","2004","Greenlee, AZ","Arizona","040","Greenlee","0110","0","0",7510
"G0400120","2004","La Paz, AZ","Arizona","040","La Paz","0120","0","0",19915
"G0400130","2004","Maricopa, AZ","Arizona","040","Maricopa","0130","0","0",3498587
"G0400150","2004","Mohave, AZ","Arizona","040","Mohave","0150","0","0",179563
"G0400170","2004","Navajo, AZ","Arizona","040","Navajo","0170","0","0",106352
"G0400190","2004","Pima, AZ","Arizona","040","Pima","0190","0","0",906540
"G0400210","2004","Pinal, AZ","Arizona","040","Pinal","0210","0","0",214704
"G0400230","2004","Santa Cruz, AZ","Arizona","040","Santa Cruz","0230","0","0",40777
"G0400250","2004","Yavapai, AZ","Arizona","040","Yavapai","0250","0","0",190737
"G0400270","2004","Yuma, AZ","Arizona","040","Yuma","0270","0","0",175629
"G0500010","2004","Arkansas, AR","Arkansas","050","Arkansas","0010","0","0",20115
"G0500030","2004","Ashley, AR","Arkansas","050","Ashley","0030","0","0",23494
"G0500050","2004","Baxter, AR","Arkansas","050","Baxter","0050","0","0",39803
"G0500070","2004","Benton, AR","Arkansas","050","Benton","0070","0","0",179609
"G0500090","2004","Boone, AR","Arkansas","050","Boone","0090","0","0",35165
"G0500110","2004","Bradley, AR","Arkansas","050","Bradley","0110","0","0",12327
"G0500130","2004","Calhoun, AR","Arkansas","050","Calhoun","0130","0","0",5541
"G0500150","2004","Carroll, AR","Arkansas","050","Carroll","0150","0","0",26555
"G0500170","2004","Chicot, AR","Arkansas","050","Chicot","0170","0","0",13217
"G0500190","2004","Clark, AR","Arkansas","050","Clark","0190","0","0",23055
"G0500210","2004","Clay, AR","Arkansas","050","Clay","0210","0","0",16729
"G0500230","2004","Cleburne, AR","Arkansas","050","Cleburne","0230","0","0",25041
"G0500250","2004","Cleveland, AR","Arkansas","050","Cleveland","0250","0","0",8770
"G0500270","2004","Columbia, AR","Arkansas","050","Columbia","0270","0","0",24885
"G0500290","2004","Conway, AR","Arkansas","050","Conway","0290","0","0",20568
"G0500310","2004","Craighead, AR","Arkansas","050","Craighead","0310","0","0",85791
"G0500330","2004","Crawford, AR","Arkansas","050","Crawford","0330","0","0",56641
"G0500350","2004","Crittenden, AR","Arkansas","050","Crittenden","0350","0","0",51541
"G0500370","2004","Cross, AR","Arkansas","050","Cross","0370","0","0",19106
"G0500390","2004","Dallas, AR","Arkansas","050","Dallas","0390","0","0",8672
"G0500410","2004","Desha, AR","Arkansas","050","Desha","0410","0","0",14542
"G0500430","2004","Drew, AR","Arkansas","050","Drew","0430","0","0",18595
"G0500450","2004","Faulkner, AR","Arkansas","050","Faulkner","0450","0","0",95074
"G0500470","2004","Franklin, AR","Arkansas","050","Franklin","0470","0","0",18025
"G0500490","2004","Fulton, AR","Arkansas","050","Fulton","0490","0","0",11855
"G0500510","2004","Garland, AR","Arkansas","050","Garland","0510","0","0",92222
"G0500530","2004","Grant, AR","Arkansas","050","Grant","0530","0","0",17190
"G0500550","2004","Greene, AR","Arkansas","050","Greene","0550","0","0",38863
"G0500570","2004","Hempstead, AR","Arkansas","050","Hempstead","0570","0","0",23436
"G0500590","2004","Hot Spring, AR","Arkansas","050","Hot Spring","0590","0","0",30969
"G0500610","2004","Howard, AR","Arkansas","050","Howard","0610","0","0",14423
"G0500630","2004","Independence, AR","Arkansas","050","Independence","0630","0","0",34622
"G0500650","2004","Izard, AR","Arkansas","050","Izard","0650","0","0",13311
"G0500670","2004","Jackson, AR","Arkansas","050","Jackson","0670","0","0",17684
"G0500690","2004","Jefferson, AR","Arkansas","050","Jefferson","0690","0","0",82162
"G0500710","2004","Johnson, AR","Arkansas","050","Johnson","0710","0","0",23736
"G0500730","2004","Lafayette, AR","Arkansas","050","Lafayette","0730","0","0",8149
"G0500750","2004","Lawrence, AR","Arkansas","050","Lawrence","0750","0","0",17366
"G0500770","2004","Lee, AR","Arkansas","050","Lee","0770","0","0",11667
"G0500790","2004","Lincoln, AR","Arkansas","050","Lincoln","0790","0","0",14291
"G0500810","2004","Little River, AR","Arkansas","050","Little River","0810","0","0",13232
"G0500830","2004","Logan, AR","Arkansas","050","Logan","0830","0","0",22900
"G0500850","2004","Lonoke, AR","Arkansas","050","Lonoke","0850","0","0",58623
"G0500870","2004","Madison, AR","Arkansas","050","Madison","0870","0","0",14670
"G0500890","2004","Marion, AR","Arkansas","050","Marion","0890","0","0",16469
"G0500910","2004","Miller, AR","Arkansas","050","Miller","0910","0","0",42518
"G0500930","2004","Mississippi, AR","Arkansas","050","Mississippi","0930","0","0",48377
"G0500950","2004","Monroe, AR","Arkansas","050","Monroe","0950","0","0",9418
"G0500970","2004","Montgomery, AR","Arkansas","050","Montgomery","0970","0","0",9234
"G0500990","2004","Nevada, AR","Arkansas","050","Nevada","0990","0","0",9567
"G0501010","2004","Newton, AR","Arkansas","050","Newton","1010","0","0",8485
"G0501030","2004","Ouachita, AR","Arkansas","050","Ouachita","1030","0","0",27307
"G0501050","2004","Perry, AR","Arkansas","050","Perry","1050","0","0",10435
"G0501070","2004","Phillips, AR","Arkansas","050","Phillips","1070","0","0",24350
"G0501090","2004","Pike, AR","Arkansas","050","Pike","1090","0","0",11005
"G0501110","2004","Poinsett, AR","Arkansas","050","Poinsett","1110","0","0",25273
"G0501130","2004","Polk, AR","Arkansas","050","Polk","1130","0","0",20084
"G0501150","2004","Pope, AR","Arkansas","050","Pope","1150","0","0",56007
"G0501170","2004","Prairie, AR","Arkansas","050","Prairie","1170","0","0",9163
"G0501190","2004","Pulaski, AR","Arkansas","050","Pulaski","1190","0","0",365228
"G0501210","2004","Randolph, AR","Arkansas","050","Randolph","1210","0","0",18407
"G0501230","2004","St. Francis, AR","Arkansas","050","St Francis","1230","0","0",28160
"G0501250","2004","Saline, AR","Arkansas","050","Saline","1250","0","0",89214
"G0501270","2004","Scott, AR","Arkansas","050","Scott","1270","0","0",10999
"G0501290","2004","Searcy, AR","Arkansas","050","Searcy","1290","0","0",7971
"G0501310","2004","Sebastian, AR","Arkansas","050","Sebastian","1310","0","0",117632
"G0501330","2004","Sevier, AR","Arkansas","050","Sevier","1330","0","0",16089
"G0501350","2004","Sharp, AR","Arkansas","050","Sharp","1350","0","0",17420
"G0501370","2004","Stone, AR","Arkansas","050","Stone","1370","0","0",11641
"G0501390","2004","Union, AR","Arkansas","050","Union","1390","0","0",44536
"G0501410","2004","Van Buren, AR","Arkansas","050","Van Buren","1410","0","0",16488
"G0501430","2004","Washington, AR","Arkansas","050","Washington","1430","0","0",174265
"G0501450","2004","White, AR","Arkansas","050","White","1450","0","0",70577
"G0501470","2004","Woodruff, AR","Arkansas","050","Woodruff","1470","0","0",8135
"G0501490","2004","Yell, AR","Arkansas","050","Yell","1490","0","0",21314
"G0600010","2004","Alameda, CA","California","060","Alameda","0010","0","0",1452096
"G0600030","2004","Alpine, CA","California","060","Alpine","0030","0","0",1197
"G0600050","2004","Amador, CA","California","060","Amador","0050","0","0",37790
"G0600070","2004","Butte, CA","California","060","Butte","0070","0","0",212698
"G0600090","2004","Calaveras, CA","California","060","Calaveras","0090","0","0",45707
"G0600110","2004","Colusa, CA","California","060","Colusa","0110","0","0",20438
"G0600130","2004","Contra Costa, CA","California","060","Contra Costa","0130","0","0",1007606
"G0600150","2004","Del Norte, CA","California","060","Del Norte","0150","0","0",28327
"G0600170","2004","El Dorado, CA","California","060","El Dorado","0170","0","0",172723
"G0600190","2004","Fresno, CA","California","060","Fresno","0190","0","0",865620
"G0600210","2004","Glenn, CA","California","060","Glenn","0210","0","0",27447
"G0600230","2004","Humboldt, CA","California","060","Humboldt","0230","0","0",128287
"G0600250","2004","Imperial, CA","California","060","Imperial","0250","0","0",152345
"G0600270","2004","Inyo, CA","California","060","Inyo","0270","0","0",18247
"G0600290","2004","Kern, CA","California","060","Kern","0290","0","0",734077
"G0600310","2004","Kings, CA","California","060","Kings","0310","0","0",142291
"G0600330","2004","Lake, CA","California","060","Lake","0330","0","0",64287
"G0600350","2004","Lassen, CA","California","060","Lassen","0350","0","0",34606
"G0600370","2004","Los Angeles, CA","California","060","Los Angeles","0370","0","0",9917331
"G0600390","2004","Madera, CA","California","060","Madera","0390","0","0",138895
"G0600410","2004","Marin, CA","California","060","Marin","0410","0","0",245929
"G0600430","2004","Mariposa, CA","California","060","Mariposa","0430","0","0",17929
"G0600450","2004","Mendocino, CA","California","060","Mendocino","0450","0","0",88407
"G0600470","2004","Merced, CA","California","060","Merced","0470","0","0",236857
"G0600490","2004","Modoc, CA","California","060","Modoc","0490","0","0",9587
"G0600510","2004","Mono, CA","California","060","Mono","0510","0","0",12687
"G0600530","2004","Monterey, CA","California","060","Monterey","0530","0","0",414551
"G0600550","2004","Napa, CA","California","060","Napa","0550","0","0",132394
"G0600570","2004","Nevada, CA","California","060","Nevada","0570","0","0",97447
"G0600590","2004","Orange, CA","California","060","Orange","0590","0","0",2982094
"G0600610","2004","Placer, CA","California","060","Placer","0610","0","0",306305
"G0600630","2004","Plumas, CA","California","060","Plumas","0630","0","0",21328
"G0600650","2004","Riverside, CA","California","060","Riverside","0650","0","0",1869465
"G0600670","2004","Sacramento, CA","California","060","Sacramento","0670","0","0",1351428
"G0600690","2004","San Benito, CA","California","060","San Benito","0690","0","0",55981
"G0600710","2004","San Bernardino, CA","California","060","San Bernardino","0710","0","0",1916418
"G0600730","2004","San Diego, CA","California","060","San Diego","0730","0","0",2935190
"G0600750","2004","San Francisco, CA","California","060","San Francisco","0750","0","0",743193
"G0600770","2004","San Joaquin, CA","California","060","San Joaquin","0770","0","0",649241
"G0600790","2004","San Luis Obispo, CA","California","060","San Luis Obispo","0790","0","0",254436
"G0600810","2004","San Mateo, CA","California","060","San Mateo","0810","0","0",698156
"G0600830","2004","Santa Barbara, CA","California","060","Santa Barbara","0830","0","0",401708
"G0600850","2004","Santa Clara, CA","California","060","Santa Clara","0850","0","0",1681980
"G0600870","2004","Santa Cruz, CA","California","060","Santa Cruz","0870","0","0",250837
"G0600890","2004","Shasta, CA","California","060","Shasta","0890","0","0",177829
"G0600910","2004","Sierra, CA","California","060","Sierra","0910","0","0",3486
"G0600930","2004","Siskiyou, CA","California","060","Siskiyou","0930","0","0",44904
"G0600950","2004","Solano, CA","California","060","Solano","0950","0","0",411896
"G0600970","2004","Sonoma, CA","California","060","Sonoma","0970","0","0",467932
"G0600990","2004","Stanislaus, CA","California","060","Stanislaus","0990","0","0",497599
"G0601010","2004","Sutter, CA","California","060","Sutter","1010","0","0",86676
"G0601030","2004","Tehama, CA","California","060","Tehama","1030","0","0",59976
"G0601050","2004","Trinity, CA","California","060","Trinity","1050","0","0",13609
"G0601070","2004","Tulare, CA","California","060","Tulare","1070","0","0",400952
"G0601090","2004","Tuolumne, CA","California","060","Tuolumne","1090","0","0",56843
"G0601110","2004","Ventura, CA","California","060","Ventura","1110","0","0",796165
"G0601130","2004","Yolo, CA","California","060","Yolo","1130","0","0",184138
"G0601150","2004","Yuba, CA","California","060","Yuba","1150","0","0",64470
"G0800010","2004","Adams, CO","Colorado","080","Adams","0010","0","0",388064
"G0800030","2004","Alamosa, CO","Colorado","080","Alamosa","0030","0","0",15162
"G0800050","2004","Arapahoe, CO","Colorado","080","Arapahoe","0050","0","0",522346
"G0800070","2004","Archuleta, CO","Colorado","080","Archuleta","0070","0","0",11610
"G0800090","2004","Baca, CO","Colorado","080","Baca","0090","0","0",4128
"G0800110","2004","Bent, CO","Colorado","080","Bent","0110","0","0",5622
"G0800130","2004","Boulder, CO","Colorado","080","Boulder","0130","0","0",279551
"G0800140","2004","Broomfield, CO","Colorado","080","Broomfield","0140","0","0",42456
"G0800150","2004","Chaffee, CO","Colorado","080","Chaffee","0150","0","0",16916
"G0800170","2004","Cheyenne, CO","Colorado","080","Cheyenne","0170","0","0",2007
"G0800190","2004","Clear Creek, CO","Colorado","080","Clear Creek","0190","0","0",9173
"G0800210","2004","Conejos, CO","Colorado","080","Conejos","0210","0","0",8416
"G0800230","2004","Costilla, CO","Colorado","080","Costilla","0230","0","0",3562
"G0800250","2004","Crowley, CO","Colorado","080","Crowley","0250","0","0",5481
"G0800270","2004","Custer, CO","Colorado","080","Custer","0270","0","0",3811
"G0800290","2004","Delta, CO","Colorado","080","Delta","0290","0","0",29788
"G0800310","2004","Denver, CO","Colorado","080","Denver","0310","0","0",555991
"G0800330","2004","Dolores, CO","Colorado","080","Dolores","0330","0","0",1810
"G0800350","2004","Douglas, CO","Colorado","080","Douglas","0350","0","0",237551
"G0800370","2004","Eagle, CO","Colorado","080","Eagle","0370","0","0",46162
"G0800390","2004","Elbert, CO","Colorado","080","Elbert","0390","0","0",22455
"G0800410","2004","El Paso, CO","Colorado","080","El Paso","0410","0","0",557752
"G0800430","2004","Fremont, CO","Colorado","080","Fremont","0430","0","0",47439
"G0800450","2004","Garfield, CO","Colorado","080","Garfield","0450","0","0",48467
"G0800470","2004","Gilpin, CO","Colorado","080","Gilpin","0470","0","0",4866
"G0800490","2004","Grand, CO","Colorado","080","Grand","0490","0","0",13221
"G0800510","2004","Gunnison, CO","Colorado","080","Gunnison","0510","0","0",14161
"G0800530","2004","Hinsdale, CO","Colorado","080","Hinsdale","0530","0","0",790
"G0800550","2004","Huerfano, CO","Colorado","080","Huerfano","0550","0","0",7766
"G0800570","2004","Jackson, CO","Colorado","080","Jackson","0570","0","0",1476
"G0800590","2004","Jefferson, CO","Colorado","080","Jefferson","0590","0","0",526648
"G0800610","2004","Kiowa, CO","Colorado","080","Kiowa","0610","0","0",1425
"G0800630","2004","Kit Carson, CO","Colorado","080","Kit Carson","0630","0","0",7740
"G0800650","2004","Lake, CO","Colorado","080","Lake","0650","0","0",7733
"G0800670","2004","La Plata, CO","Colorado","080","La Plata","0670","0","0",46621
"G0800690","2004","Larimer, CO","Colorado","080","Larimer","0690","0","0",268960
"G0800710","2004","Las Animas, CO","Colorado","080","Las Animas","0710","0","0",15412
"G0800730","2004","Lincoln, CO","Colorado","080","Lincoln","0730","0","0",5720
"G0800750","2004","Logan, CO","Colorado","080","Logan","0750","0","0",20932
"G0800770","2004","Mesa, CO","Colorado","080","Mesa","0770","0","0",127281
"G0800790","2004","Mineral, CO","Colorado","080","Mineral","0790","0","0",931
"G0800810","2004","Moffat, CO","Colorado","080","Moffat","0810","0","0",13524
"G0800830","2004","Montezuma, CO","Colorado","080","Montezuma","0830","0","0",24681
"G0800850","2004","Montrose, CO","Colorado","080","Montrose","0850","0","0",36653
"G0800870","2004","Morgan, CO","Colorado","080","Morgan","0870","0","0",28063
"G0800890","2004","Otero, CO","Colorado","080","Otero","0890","0","0",19603
"G0800910","2004","Ouray, CO","Colorado","080","Ouray","0910","0","0",4147
"G0800930","2004","Park, CO","Colorado","080","Park","0930","0","0",16760
"G0800950","2004","Phillips, CO","Colorado","080","Phillips","0950","0","0",4581
"G0800970","2004","Pitkin, CO","Colorado","080","Pitkin","0970","0","0",14760
"G0800990","2004","Prowers, CO","Colorado","080","Prowers","0990","0","0",13999
"G0801010","2004","Pueblo, CO","Colorado","080","Pueblo","1010","0","0",149954
"G0801030","2004","Rio Blanco, CO","Colorado","080","Rio Blanco","1030","0","0",6014
"G0801050","2004","Rio Grande, CO","Colorado","080","Rio Grande","1050","0","0",12394
"G0801070","2004","Routt, CO","Colorado","080","Routt","1070","0","0",21092
"G0801090","2004","Saguache, CO","Colorado","080","Saguache","1090","0","0",7015
"G0801110","2004","San Juan, CO","Colorado","080","San Juan","1110","0","0",580
"G0801130","2004","San Miguel, CO","Colorado","080","San Miguel","1130","0","0",7116
"G0801150","2004","Sedgwick, CO","Colorado","080","Sedgwick","1150","0","0",2551
"G0801170","2004","Summit, CO","Colorado","080","Summit","1170","0","0",24851
"G0801190","2004","Teller, CO","Colorado","080","Teller","1190","0","0",21664
"G0801210","2004","Washington, CO","Colorado","080","Washington","1210","0","0",4675
"G0801230","2004","Weld, CO","Colorado","080","Weld","1230","0","0",219961
"G0801250","2004","Yuma, CO","Colorado","080","Yuma","1250","0","0",9780
"G0900010","2004","Fairfield, CT","Connecticut","090","Fairfield","0010","0","0",901819
"G0900030","2004","Hartford, CT","Connecticut","090","Hartford","0030","0","0",873879
"G0900050","2004","Litchfield, CT","Connecticut","090","Litchfield","0050","0","0",189258
"G0900070","2004","Middlesex, CT","Connecticut","090","Middlesex","0070","0","0",162169
"G0900090","2004","New Haven, CT","Connecticut","090","New Haven","0090","0","0",844342
"G0900110","2004","New London, CT","Connecticut","090","New London","0110","0","0",266107
"G0900130","2004","Tolland, CT","Connecticut","090","Tolland","0130","0","0",146769
"G0900150","2004","Windham, CT","Connecticut","090","Windham","0150","0","0",114623
"G1000010","2004","Kent, DE","Delaware","100","Kent","0010","0","0",139118
"G1000030","2004","New Castle, DE","Delaware","100","New Castle","0030","0","0",518728
"G1000050","2004","Sussex, DE","Delaware","100","Sussex","0050","0","0",172223
"G1100010","2004","District of Columbia","District Of Columbia","110","District of Columbia","0010","0","0",554239
"G1200010","2004","Alachua, FL","Florida","120","Alachua","0010","0","0",222568
"G1200030","2004","Baker, FL","Florida","120","Baker","0030","0","0",23946
"G1200050","2004","Bay, FL","Florida","120","Bay","0050","0","0",157811
"G1200070","2004","Bradford, FL","Florida","120","Bradford","0070","0","0",27623
"G1200090","2004","Brevard, FL","Florida","120","Brevard","0090","0","0",518812
"G1200110","2004","Broward, FL","Florida","120","Broward","0110","0","0",1753000
"G1200130","2004","Calhoun, FL","Florida","120","Calhoun","0130","0","0",13043
"G1200150","2004","Charlotte, FL","Florida","120","Charlotte","0150","0","0",157324
"G1200170","2004","Citrus, FL","Florida","120","Citrus","0170","0","0",130273
"G1200190","2004","Clay, FL","Florida","120","Clay","0190","0","0",164387
"G1200210","2004","Collier, FL","Florida","120","Collier","0210","0","0",296675
"G1200230","2004","Columbia, FL","Florida","120","Columbia","0230","0","0",61710
"G1200270","2004","DeSoto, FL","Florida","120","DeSoto","0270","0","0",34842
"G1200290","2004","Dixie, FL","Florida","120","Dixie","0290","0","0",14266
"G1200310","2004","Duval, FL","Florida","120","Duval","0310","0","0",819623
"G1200330","2004","Escambia, FL","Florida","120","Escambia","0330","0","0",296739
"G1200350","2004","Flagler, FL","Florida","120","Flagler","0350","0","0",69016
"G1200370","2004","Franklin, FL","Florida","120","Franklin","0370","0","0",10084
"G1200390","2004","Gadsden, FL","Florida","120","Gadsden","0390","0","0",46083
"G1200410","2004","Gilchrist, FL","Florida","120","Gilchrist","0410","0","0",15921
"G1200430","2004","Glades, FL","Florida","120","Glades","0430","0","0",11146
"G1200450","2004","Gulf, FL","Florida","120","Gulf","0450","0","0",13703
"G1200470","2004","Hamilton, FL","Florida","120","Hamilton","0470","0","0",14076
"G1200490","2004","Hardee, FL","Florida","120","Hardee","0490","0","0",28022
"G1200510","2004","Hendry, FL","Florida","120","Hendry","0510","0","0",38113
"G1200530","2004","Hernando, FL","Florida","120","Hernando","0530","0","0",150540
"G1200550","2004","Highlands, FL","Florida","120","Highlands","0550","0","0",93133
"G1200570","2004","Hillsborough, FL","Florida","120","Hillsborough","0570","0","0",1100333
